"Hugo_Symbol","logFC","logCPM","LR","PValue","FDR"
"KRT23",4.93078977174698,-1.68842920606618,256.494125498436,9.97086135631741e-58,1.87970678289296e-53
"LAMA3",2.90229075400878,2.68070257003312,154.744455265708,1.5923496314387e-35,1.50094876259412e-31
"S100A2",2.20737680490739,5.10125548281885,96.2209597133337,1.02751329317113e-22,6.45689353428736e-19
"HEPHL1",2.48955682187463,-1.29358710349396,86.7058369455434,1.25924610899665e-20,5.49804617553724e-17
"TMEM249",1.99167538498736,-2.12480532358119,86.4157183026713,1.45821296826258e-20,5.49804617553724e-17
"KRT5",3.70075703375106,3.32426387413169,82.5460344978807,1.03237537081569e-19,3.24372341510289e-16
"LOC441601",2.87544631228402,-2.9062056054674,75.0847644037966,4.50932641510897e-18,1.15480979246151e-14
"CLCA2",3.28427814122772,1.24888616806192,74.9205085877317,4.90052956699134e-18,1.15480979246151e-14
"TFPI2",2.26167247612914,1.21414976015133,63.1947119126673,1.872504134442e-15,3.92227199361118e-12
"KRT6A",3.28716767641169,3.40759012825844,59.7141653495302,1.09684229847545e-14,2.06776710108593e-11
"KRT14",2.68425551486303,1.91152544027332,58.7893759508402,1.75486260788103e-14,3.00751544397937e-11
"ANXA8L2",2.55429428171842,0.331827423127249,52.2781112053507,4.81714013560075e-13,7.56772715302879e-10
"C3orf45",1.99334046601691,-2.2019410386412,51.6880523288818,6.50574418349674e-13,9.43432994979081e-10
"KRT75",3.69543894895325,-2.12836958599092,51.5337662828555,7.03762138780551e-13,9.47665988592211e-10
"MATN1",-6.09238017519501,2.72246070187233,49.8822657523878,1.63253554480985e-12,2.05177067271702e-09
"RNASE7",1.83043678947322,-2.55545578143648,46.8779966244251,7.55461425463822e-12,8.37762281931998e-09
"MMP10",2.41628020125649,-1.19454699628982,45.7200639105261,1.36418297347878e-11,1.42875430089011e-08
"KRT6C",3.06928681573957,-0.315499375389428,45.5490948590153,1.48860456419769e-11,1.47700911811868e-08
"MANCR",2.08492154419344,-2.34401010418281,45.301309944739,1.68936099736766e-11,1.59239167611875e-08
"WNT4",-2.49103037843762,2.58191653180781,41.0339294328334,1.49609289811638e-10,1.22627579631696e-07
"LCE1C",1.97172742106678,-3.19828084939691,40.7134125197539,1.76273119474393e-10,1.38462535347136e-07
"TRPV6",-2.66161676814653,1.64747795666307,40.3372414730567,2.13696406439923e-10,1.61144186168217e-07
"KRT6B",3.07741696833372,1.38864642127374,40.1543708911179,2.3466584961123e-10,1.70150792187343e-07
"FAT2",1.56992590043667,2.52450807533562,39.1027000589772,4.02087530561142e-10,2.6763794502938e-07
"ALDH3B2",1.52000688046049,-0.623397361129779,39.0565429956125,4.11707002220031e-10,2.6763794502938e-07
"IGDCC3",-2.21639777358821,1.63081594720872,37.8065203720416,7.81202296697623e-10,4.75071796688503e-07
"ODZ2",1.95871708400306,1.01062176996283,37.6278386015611,8.5613849126317e-10,5.04372588665415e-07
"ACTA1",-5.54077795337628,1.98874857400804,37.4591768771111,9.33464548917345e-10,5.33262838672418e-07
"SERPINA11",1.87619283613614,-3.15279085349834,37.2612074369634,1.03319509074144e-09,5.72876289725227e-07
"GPR87",1.95148713897562,-0.268094833476168,37.0270817233004,1.16499870619689e-09,6.27501588834966e-07
"CDH17",1.75227011101544,-2.03156550805603,36.1957251527398,1.78461597639775e-09,8.85357378606588e-07
"CCKAR",2.71957508315567,-3.13283433451918,35.9581725739886,2.01599021573786e-09,9.74498655053593e-07
"DUOXA2",-1.52189457726204,6.07915788964364,35.8487952051476,2.13239853931625e-09,1.00499943157975e-06
"NEB",-3.35321230962204,3.71090282839557,35.5990273746586,2.42408544628842e-09,1.0880680674626e-06
"TPO",-3.17428468411806,10.2914467653269,35.362662474314,2.73683453414523e-09,1.19987917762107e-06
"GRIK4",-2.51595109946597,1.38718646636573,35.0578635315493,3.20051895438419e-09,1.35503347811525e-06
"PITX1",2.1690190672527,-1.8175314414139,35.0373072184613,3.23448475043424e-09,1.35503347811525e-06
"CIB4",-3.99633112869848,-0.770405997185767,34.9289367421686,3.41960743665709e-09,1.36287429376498e-06
"FLRT1",-2.69580609074726,2.42848767935394,34.8324307697512,3.59337638538842e-09,1.38249656361924e-06
"SLC29A4",-2.01280441008095,3.45782974438707,34.2358107138803,4.88222219918973e-09,1.76143470188894e-06
"ITLN1",1.62977901590843,-1.83544006960411,34.1761563947856,5.03420101140766e-09,1.76143470188894e-06
"MYBPC1",-4.95811772396908,0.940795676953368,34.1717996084601,5.04548450572897e-09,1.76143470188894e-06
"PPP2R2C",-4.16850579551738,0.990924665692091,34.1146852661316,5.19576673621977e-09,1.78091990020391e-06
"SLC14A2",-3.83110371845937,2.30302356040187,33.7133869698662,6.3859706987501e-09,2.11207578268135e-06
