"Hugo_Symbol","logFC","logCPM","LR","PValue","FDR"
"S100A2",4.23806338548831,5.10125548281885,226.940771105456,2.77031044550839e-51,5.22258925187241e-47
"ITGA3",1.75428062663261,9.79617714106308,188.187633017278,7.90571838926743e-43,7.45193015372348e-39
"AHNAK2",3.48438405587224,6.85563426936903,186.794823714013,1.59214417736749e-42,1.00050340105773e-38
"HES2",3.60143303089055,1.06890249629813,181.38369045816,2.4171900825183e-41,1.13922168589088e-37
"LAMA3",4.09681931012159,2.68070257003312,177.517256192573,1.68859077182899e-40,6.36666264610401e-37
"KRT23",6.24706040511852,-1.68842920606618,172.322919814983,2.30057962695246e-39,7.22842118788464e-36
"MMP7",5.81321891657105,4.48332812250947,170.014945549685,7.34348532525798e-39,1.97770550502519e-35
"ANXA2P2",1.83071641692907,7.73919854204032,163.051905659217,2.437147395432e-37,5.74313783733551e-34
"ITGB6",2.4159384582045,5.36003345257972,162.622815859904,3.02428587666823e-37,6.33487081632771e-34
"GPR115",5.06951978740132,0.231742064295491,161.668303161466,4.8882750717598e-37,9.21537616528157e-34
"ALOX5",3.8591396788752,6.47066065865347,160.710381612204,7.91481184257496e-37,1.326458243109e-33
"ARSI",4.30889331728498,0.679478000650943,160.581873439228,8.44340065632716e-37,1.326458243109e-33
"UNC5CL",2.59819964657902,3.00623374886688,158.695520149872,2.18106471662722e-36,3.16287938752741e-33
"SFTPB",5.03189897736645,10.2079556735177,156.350152568192,7.09826197826906e-36,9.55831677245202e-33
"FAP",3.50994877264447,3.3846820224221,154.942696445339,1.44117387234993e-35,1.8112673227694e-32
"DSC2",2.18990958935454,5.01160607454358,152.449440919179,5.05356851404239e-35,5.95436710167045e-32
"ALDH3B2",3.54212712947664,-0.623397361129779,150.235001343291,1.54026089899533e-34,1.70805873340353e-31
"ACTBL2",3.68804253700048,0.451176740859708,148.485262702867,3.71583240806115e-34,3.89171514204271e-31
"ANXA2",1.7433672446267,9.29698499399655,147.41258387198,6.37586577247836e-34,6.32620113382958e-31
"TBC1D2",1.74141607259631,6.61918495687185,146.156962334234,1.19957375331417e-33,1.13071821987394e-30
"CCL20",4.23051182036262,1.12551454538258,145.481816401166,1.68509771153758e-33,1.51273628847173e-30
"P2RY6",2.58315169898029,2.79838104367388,144.903184918685,2.25489945035298e-33,1.93224383809338e-30
"MUC1",3.2501326038156,7.07558787110495,142.924065287438,6.10708132714609e-33,5.00568248605905e-30
"SLPI",4.01771792057501,6.97763441353772,141.439083009136,1.28982454328598e-32,1.01315717875113e-29
"CLCA2",6.45787184417236,1.24888616806192,140.518329188855,2.05054155217999e-32,1.54627237366789e-29
"FN1",3.65275226111149,13.9681818100261,139.690245118654,3.11136164967328e-32,2.25597653152464e-29
"LAMC2",1.61132238025223,7.98624203645361,137.874938165672,7.76140296703768e-32,5.4191840272072e-29
"KRT6A",7.35708080323985,3.40759012825844,136.997944863453,1.20709952727216e-31,8.12722867433382e-29
"PERP",1.6618176055158,8.11465374461025,136.493704711484,1.55606182576439e-31,1.01154750135553e-28
"S100A10",2.39409885013868,7.2353608241901,136.097912462603,1.89930053804207e-31,1.19352045810564e-28
"BEND6",2.97643489402476,1.40975144419357,134.028720786766,5.38508070145345e-31,3.27482391560647e-28
"CD1C",3.66435571530675,2.02560562517029,131.067841428199,2.39287096473766e-30,1.3669819220374e-27
